NAME,SHARES,PERCENTAGE
CITIBANK NOMINEES SINGAPORE PRIVATE LIMITED,"584,475,594",19.1
DBS NOMINEES PRIVATE LIMITED,"418,158,995",13.67
MULBERRY PRIVATE LIMITED,"386,588,072",12.63
MERANTI INVESTMENTS PRIVATE LIMITED,"350,303,184",11.45
HSBC SINGAPORE NOMINEES PRIVATE LIMITED,"209,329,060",6.84
MAPLETREE LOGISTICS PROPERTIES PRIVATE LIMITED,"170,401,077",5.57
MANGROVE PRIVATE LIMITED,"170,398,998",5.57
RAFFLES NOMINEES PRIVATE LIMITED,"130,102,651",4.25
DBSN SERVICES PRIVATE LIMITED,"120,794,989",3.95
UNITED OVERSEAS BANK NOMINEES PRIVATE LIMITED,"48,508,889",1.59
DB NOMINEES SINGAPORE PRIVATE LIMITED,"17,345,955",0.57
DBS VICKERS SECURITIES SINGAPORE PRIVATE LIMITED,"13,171,295",0.43
BNP PARIBAS NOMINEES SINGAPORE PRIVATE LIMITED,"7,581,957",0.25
ABN AMRO CLEARING BANK NV,"6,889,910",0.23
BPSS NOMINEES SINGAPORE PRIVATE LIMITED,"6,668,032",0.22
UOB KAY HIAN PRIVATE LIMITED,"5,116,045",0.17
PHILLIP SECURITIES PRIVATE LIMITED,"4,651,733",0.15
