NAME,SHARES,PERCENTAGE
CITIBANK NOMINEES SINGAPORE PRIVATE LIMITED,"5,681,780,461",46.18
DBS NOMINEES PRIVATE LIMITED,"2,051,128,980",16.67
DBSN SERVICES PRIVATE LIMITED,"1,618,409,300",13.15
DB NOMINEES SINGAPORE PRIVATE LIMITED,"1,007,888,655",8.19
CGS-CIMB SECURITIES SINGAPORE PRIVATE LIMITED,"471,449,800",3.83
THE HONGKONG AND SHANGHAI BANKING CORPORATION LIMITED,"341,036,619",2.77
RAFFLES NOMINEES PRIVATE LIMITED,"157,896,632",1.28
ARANDA INVESTMENTS PRIVATE LIMITED,"92,931,200",0.76
MERRILL LYNCH SINGAPORE PRIVATE LIMITED,"72,629,465",0.59
LIM & TAN SECURITIES PRIVATE LIMITED,"55,358,600",0.45
MORGAN STANLEY ASIA SINGAPORE SECURITIES PRIVATE LIMITED,"30,714,078",0.25
PHILLIP SECURITIES PRIVATE LIMITED,"24,831,944",0.2
UNITED OVERSEAS BANK NOMINEES PRIVATE LIMITED,"21,238,464",0.17
UOB KAY HIAN PRIVATE LIMITED,"20,856,400",0.17
BPSS NOMINEES SINGAPORE PRIVATE LIMITED,"19,042,335",0.15
MAYBANK KIM ENG SECURITIES PRIVATE LIMITED,"15,559,681",0.13
OCBC SECURITIES PRIVATE LIMITED,"15,365,100",0.12
SUNFIELD PRIVATE LIMITED,"15,000,000",0.12
DBS VICKERS SECURITIES SINGAPORE PRIVATE LIMITED,"13,247,550",0.11
SUMMERLIGHT  PRIVATE LIMITED,"12,000,000",0.1
