Name,PageRank
TEMASEK HOLDINGS PRIVATE LIMITED,0.03541859909475921
UNITED OVERSEAS BANK LIMITED,0.020666737345059104
HAW PAR CORPORATION LIMITED,0.019446191854578965
JARDINE STRATEGIC HOLDINGS LIMITED,0.019126188443895516
JARDINE MATHESON HOLDINGS LIMITED,0.017268215852202787
EC WORLD ASSET MANAGEMENT PRIVATE LIMITED,0.006739704499277696
LMIRT MANAGEMENT LIMITED,0.006739704499277693
ALUMINUM CORP OF CHINA,0.006739704499277685
ESR FUNDS MANAGEMENT SINGAPORE LIMITED,0.006739704499277681
M&C REIT MANAGEMENT LIMITED,0.006739704499277678
FEO HOSPITALITY ASSET MANAGEMENT PRIVATE LIMITED,0.006739704499277671
FSL TRUST MANAGEMENT PRIVATE LIMITED,0.006739704499277658
BHG RETAIL TRUST MANAGEMENT PRIVATE LIMITED,0.006739704499277628
PARKWAY TRUST MANAGEMENT LIMITED,0.006739704499277566
SABANA REAL ESTATE INVESTMENT MANAGEMENT PRIVATE LIMITED,0.006739704499277506
YTL STARHILL GLOBAL REIT MANAGEMENT LIMITED,0.006739704499277503
SASSEUR ASSET MANAGEMENT PRIVATE LIMITED,0.006739704499277496
THAI BEVERAGE PUBLIC COMPANY LIMITED,0.00558725434557221
KEPPEL CORPORATION LIMITED,0.005535414608329827
OVERSEA-CHINESE BANKING CORPORATION LIMITED,0.00537016303101018
CITY DEVELOPMENTS LIMITED,0.005178620444632354
FRASERS PROPERTY LIMITED,0.0043729251141444965
CAPITALAND LIMITED,0.004212658917418783
Q & M DENTAL GROUP SINGAPORE LIMITED,0.004080848951159423
UNITED OVERSEAS INSURANCE LIMITED,0.004025301400930098
EZION HOLDINGS LIMITED,0.0035888926458652643
SINGAPORE PRESS HOLDINGS LIMITED,0.003588892645865262
OUE LIMITED,0.00354204076058545
DBS GROUP HOLDINGS LIMITED,0.003416837621213843
GREAT EASTERN HOLDINGS LIMITED,0.003305709962504037
THE STRAITS TRADING COMPANY LIMITED,0.003284757256632402
SINGAPORE TELECOMMUNICATIONS LIMITED,0.0031818118951939347
ASPIAL CORPORATION LIMITED,0.003159236484036324
ASTI HOLDINGS LIMITED,0.0027295803222073815
WILMAR INTERNATIONAL LIMITED,0.0027295803222073802
COMFORTDELGRO CORPORATION LIMITED,0.0027295803222073763
SEMBCORP INDUSTRIES LIMITED,0.002717361953410825
GRP LIMITED,0.002600683473658705
STARHUB LIMITED,0.0026006834736587046
IFS CAPITAL LIMITED,0.0024028996041225697
PRUDENTIAL PLC,0.002278472019027533
OXLEY HOLDINGS LIMITED,0.0021701848487673515
SING HOLDINGS LIMITED,0.0019047697250797588
HC SURGICAL SPECIALISTS LIMITED,0.0018702679985495027
HWA HONG CORPORATION LIMITED,0.0018702679985495027
YOMA STRATEGIC HOLDINGS LIMITED,0.0018702679985495027
BLUMONT GROUP LIMITED,0.0018702679985495023
BOUSTEAD SINGAPORE LIMITED,0.0018702679985495023
CLEARBRIDGE HEALTH LIMITED,0.0018702679985495023
STARLAND HOLDINGS LIMITED,0.0018702679985495023
HIAP HOE LIMITED,0.0018702679985495017
KEONG HONG HOLDINGS LIMITED,0.0018702679985495017
CHUAN HUP HOLDINGS LIMITED,0.0018702679985495014
TRITECH GROUP LIMITED,0.0018702679985495014
INTRACO LIMITED,0.001870267998549501
BONVESTS HOLDINGS LIMITED,0.0018702679985495008
LIAN BENG GROUP LIMITED,0.0018702679985495008
SINGAPORE AIRLINES LIMITED,0.0018702679985495008
TUAN SING HOLDINGS LIMITED,0.0018702679985495008
GKE CORPORATION LIMITED,0.0018702679985495006
MM2 ASIA LIMITED,0.0018702679985495006
UOL GROUP LIMITED,0.0018702679985495006
USP GROUP LIMITED,0.0018702679985495006
NEO GROUP LIMITED,0.0018702679985495004
ACCRELIST LIMITED,0.0018702679985495
CREATIVE TECHNOLOGY LIMITED,0.0018702679985495
ENVICTUS INTERNATIONAL HOLDINGS LIMITED,0.0018702679985495
HANWELL HOLDINGS LIMITED,0.0018702679985495
KOH BROTHERS GROUP LIMITED,0.0018702679985495
TEE INTERNATIONAL LIMITED,0.0018702679985495
UMS HOLDINGS LIMITED,0.0016281645522240493
YANLORD LAND GROUP LIMITED,0.0015703511483316519
BAKER TECHNOLOGY LIMITED,0.0015418579285685534
SINGAPORE REINSURANCE CORPORATION LIMITED,0.0014484547803048117
FRAGRANCE GROUP LIMITED,0.001440611836720564
FRASERS COMMERCIAL ASSET MANAGEMENT LIMITED,0.0013768889698413827
FALCON ENERGY GROUP LIMITED,0.001339365744872569
SINGAPURA FINANCE LIMITED,0.0013376363929764375
BOWSPRIT CAPITAL CORPORATION LIMITED,0.0013233015767569745
TIH LIMITED,0.001297287536515921
ELLIPSIZ LIMITED,0.0012530591212170702
ASCOTT RESIDENCE TRUST MANAGEMENT LIMITED,0.0011662980098133702
CAPITALAND COMMERCIAL TRUST MANAGEMENT LIMITED,0.0011310247197977713
CAPITALAND RETAIL CHINA TRUST MANAGEMENT LIMITED,0.0011144429171354372
ASCENDAS FUNDS MANAGEMENT SINGAPORE LIMITED,0.0011060742151953267
MAPLETREE NORTH ASIA COMMERCIAL TRUST MANAGEMENT LIMITED,0.001102904081938977
FRASERS CENTREPOINT ASSET MANAGEMENT LIMITED,0.0010977803350246695
SING INVESTMENTS & FINANCE LIMITED,0.0010515459413978061
CAPITALAND MALL TRUST MANAGEMENT LIMITED,0.0010498706010350397
FRASERS HOSPITALITY ASSET MANAGEMENT PRIVATE LIMITED,0.0010482268833321181
MAPLETREE INDUSTRIAL TRUST MANAGEMENT LIMITED,0.0010247410245477577
