,name,in_degree,out_degree,total_degree
36,ANCHUN INTERNATIONAL HOLDINGS LIMITED,0,0,0
37,ANNAIK LIMITED,0,0,0
38,ANNICA HOLDINGS LIMITED,0,0,0
39,AOXIN Q & M DENTAL GRP LIMITED,1,0,1
40,AP OIL INTERNATIONAL LIMITED,0,0,0
41,APAC REALTY LIMITED,0,0,0
42,APTT MANAGEMENT PRIVATE LIMITED,1,0,1
43,ARA ASSET MANAGEMENT (FORTUNE) LIMITED,0,0,0
44,ARA TRUST MANAGEMENT (CACHE) LIMITED,2,0,2
45,ARA TRUST MANAGEMENT (SUNTEC) LIMITED,1,0,1
46,ARION ENTERTAINMENT SINGAPORE LIMITED,0,0,0
47,ARTIVISION TECHNOLOGIES LIMITED,0,0,0
48,ASCENDAS FUNDS MANAGEMENT SINGAPORE LIMITED,2,1,3
49,ASCENDAS HOSPITALITY FUND MANAGEMENT PRIVATE LIMITED,1,0,1
50,ASCENDAS PROPERTY FUND TRUSTEE PRIVATE LIMITED,1,0,1
51,ASCOTT RESIDENCE TRUST MANAGEMENT LIMITED,3,1,4
52,ASIA ENTERPRISES HOLDING LIMITED,0,0,0
53,ASIA FASHION HOLDINGS LIMITED,0,0,0
54,ASIA VETS HOLDINGS LIMITED,0,0,0
55,ASIAMEDIC LIMITED,0,0,0
56,ASIAN HEALTHCARE SPECIALISTS LIMITED,0,0,0
57,ASIAN MICRO HOLDINGS LIMITED,0,0,0
58,ASIAPHOS LIMITED,0,0,0
59,ASIATIC GROUP HOLDINGS LIMITED,0,0,0
60,ASIATRAVELCOM HOLDINGS LIMITED,0,0,0
61,ASL MARINE HOLDINGS LIMITED,0,0,0
62,ASPEN (GROUP) HOLDINGS LIMITED,1,0,1
63,ASPIAL CORPORATION LIMITED,0,3,3
64,ASTAKA HOLDINGS LIMITED,0,0,0
65,ASTI HOLDINGS LIMITED,0,2,2
66,ATLANTIC NAVIGATION HOLDINGS SINGAPORE LIMITED,0,0,0
67,AUSGROUP LIMITED,1,0,1
68,AVARGA LIMITED,0,0,0
