,name,in_degree,out_degree,total_degree
490,PAN HONG HOLDINGS GROUP LIMITED,0,0,0
491,PAN OCEAN COMPANY LIMITED,0,0,0
492,PAN-UNITED CORPORATION LIMITED,0,0,0
493,PARKSON RETAIL ASIA LIMITED,0,0,0
494,PARKWAY TRUST MANAGEMENT LIMITED,1,1,2
495,PAVILLON HOLDINGS LIMITED,0,0,0
496,PEC LIMITED,0,0,0
497,PENGUIN INTERNATIONAL LIMITED,1,0,1
498,PERENNIAL REAL ESTATE HOLDINGS LIMITED,1,0,1
499,PHARMESIS INTERNATIONAL LIMITED,0,0,0
500,PINE CAPITAL GROUP LIMITED,0,0,0
501,PLASTOFORM HOLDINGS LIMITED,0,0,0
502,PLATO CAPITAL LIMITED,0,0,0
503,PNE INDUSTRIES LIMITED,0,0,0
504,POLARIS LIMITED,0,0,0
505,POLLUX PROPERTIES LIMITED,0,0,0
506,POWERMATIC DATA SYSTEMS LIMITED,0,0,0
507,PROCURRI CORPORATION LIMITED,0,0,0
508,PROGEN HOLDINGS LIMITED,0,0,0
509,PROPNEX LIMITED,0,0,0
510,PRUDENTIAL PLC,0,3,3
511,PSL HOLDINGS LIMITED,0,0,0
512,PT BERLIAN LAJU TANKER TBK,0,0,0
513,Q & M DENTAL GROUP SINGAPORE LIMITED,0,2,2
514,QAF LIMITED,0,0,0
515,QIAN HU CORPORATION LIMITED,0,0,0
516,QT VASCULAR LIMITED,0,0,0
517,RAFFLES EDUCATION CORPORATION LIMITED,0,0,0
518,RAFFLES INFRASTRUCTURE HOLDINGS LIMITED,0,0,0
519,RAFFLES MEDICAL GROUP LIMITED,0,0,0
520,RAFFLES UNITED HOLDINGS LIMITED,0,0,0
521,RE&S HOLDINGS LIMITED,0,0,0
522,REENOVA INVESTMENT HOLDING LIMITED,0,0,0
523,REGAL INTERNATIONAL GROUP LIMITED,0,0,0
524,RENAISSANCE UNITED LIMITED,0,0,0
525,RENEWABLE ENERGY ASIA GRP LIMITED,0,0,0
526,RESOURCES PRIMA GROUP LIMITED,0,0,0
527,REX INTERNATIONAL HOLDING LIMITED,0,0,0
528,RH PETROGAS LIMITED,0,0,0
529,RHT HEALTH TRUST MANAGER PRIVATE LIMITED,0,0,0
530,RICH CAPITAL HOLDINGS LIMITED,0,0,0
531,RIVERSTONE HOLDINGS LIMITED,0,0,0
532,ROXY-PACIFIC HOLDINGS LIMITED,0,0,0
533,RYOBI KISO HOLDINGS LIMITED,0,0,0
534,SABANA REAL ESTATE INVESTMENT MANAGEMENT PRIVATE LIMITED,1,1,2
535,SAKAE HOLDINGS LIMITED,0,0,0
536,SAMKO TIMBER LIMITED,0,0,0
537,SAMUDERA SHIPPING LINE LIMITED,0,0,0
538,SAMURAI 2K AEROSOL LIMITED,0,0,0
539,SANLI ENVIRONMENTAL LIMITED,1,0,1
540,SANTAK HOLDINGS LIMITED,0,0,0
541,SAPPHIRE CORPORATION LIMITED,0,0,0
542,SARINE TECHNOLOGIES LIMITED,0,0,0
543,SASSEUR ASSET MANAGEMENT PRIVATE LIMITED,1,1,2
544,SATS LIMITED,1,0,1
545,SB REIT MANAGEMENT PRIVATE LIMITED,0,0,0
546,SBI OFFSHORE LIMITED,0,0,0
547,SBS TRANSIT LIMITED,1,0,1
548,SECOND CHANCE PROPERTIES LIMITED,0,0,0
549,SECURA GROUP LIMITED,1,0,1
550,SEMBCORP INDUSTRIES LIMITED,1,2,3
551,SEMBCORP MARINE LIMITED,2,0,2
552,SEN YUE HOLDINGS LIMITED,0,0,0
553,SERIAL SYSTEM LIMITED,0,0,0
554,SEROJA INVESTMENTS LIMITED,0,0,0
555,SERRANO LIMITED,2,0,2
556,SEVAK LIMITED,0,0,0
557,SHANGHAI TURBO ENTERPRISES LIMITED,0,0,0
558,SHANGRI-LA ASIA LIMITED,0,0,0
559,SHENG SIONG GROUP LIMITED,0,0,0
560,SHINVEST HOLDING LIMITED,0,0,0
561,SHOPPER360 LIMITED,0,0,0
562,SHS HOLDINGS LIMITED,0,0,0
563,SIA ENGINEERING COMPANY LIMITED,1,0,1
564,SIIC ENVIRONMENT HOLDINGS LIMITED,0,0,0
565,SILKROAD NICKEL LIMITED,0,0,0
566,SILVERLAKE AXIS LIMITED,0,0,0
567,SIM LEISURE GROUP LIMITED,0,0,0
568,SIN GHEE HUAT CORPORATION LIMITED,0,0,0
569,SIN HENG HEAVY MACHINERY LIMITED,0,0,0
570,SINARMAS LAND LIMITED,0,0,0
571,SINCAP GROUP LIMITED,0,0,0
572,SING HOLDINGS LIMITED,0,1,1
573,SING INVESTMENTS & FINANCE LIMITED,1,1,2
574,SINGAPORE AIRLINES LIMITED,1,1,2
575,SINGAPORE EDEVELOPMENT LIMITED,0,0,0
576,SINGAPORE EXCHANGE LIMITED,0,0,0
577,SINGAPORE KITCHEN EQUIPMENT LIMITED,1,0,1
578,SINGAPORE MEDICAL GROUP LIMITED,0,0,0
579,SINGAPORE MYANMAR INVESTCO LIMITED,0,0,0
580,SINGAPORE O&G LIMITED,0,0,0
581,SINGAPORE POST LIMITED,2,0,2
582,SINGAPORE PRESS HOLDINGS LIMITED,6,3,9
583,SINGAPORE REINSURANCE CORPORATION LIMITED,3,1,4
584,SINGAPORE SHIPPING CORPORATION LIMITED,0,0,0
585,SINGAPORE TECHNOLOGIES ENGINEERING LIMITED,1,0,1
586,SINGAPORE TELECOMMUNICATIONS LIMITED,1,3,4
587,SINGAPURA FINANCE LIMITED,0,1,1
588,SINGHAIYI GROUP LIMITED,0,0,0
589,SINJIA LAND LIMITED,0,0,0
590,SINO GRANDNESS FOOD INDUSTRY GROUP LIMITED,0,0,0
591,SINO TECHFIBRE LIMITED,0,0,0
592,SINOCLOUD GROUP LIMITED,0,0,0
593,SINOPIPE HOLDINGS LIMITED,0,0,0
594,SINOSTAR PEC HOLDINGS LIMITED,0,0,0
595,SITRA HOLDINGS (INTERNATIONAL) LIMITED,0,0,0
596,SK JEWELLERY GROUP LIMITED,0,0,0
597,SLB DEVELOPMENT LIMITED,1,0,1
598,SOILBUILD CONSTRUCTION GROUP LIMITED,0,0,0
599,SOON LIAN HOLDINGS LIMITED,0,0,0
600,SOUP RESTAURANT GROUP LIMITED,0,0,0
601,SOUTHERN PACKAGING GROUP LIMITED,0,0,0
602,SP CORPORATION LIMITED,1,0,1
603,SPACKMAN ENTERTAINMENT GROUP LIMITED,0,0,0
604,SPH REIT MANAGEMENT PRIVATE LIMITED,1,0,1
605,SPINDEX INDUSTRIES LIMITED,0,0,0
606,SRI TRANG AGRO-INDUSTRY PCL,0,0,0
607,STAMFORD LAND CORPORATION LIMITED,0,0,0
608,STAMFORD TYRES CORPORATION LIMITED,0,0,0
609,STARBURST HOLDINGS LIMITED,0,0,0
610,STARHUB LIMITED,1,1,2
611,STARLAND HOLDINGS LIMITED,1,1,2
612,STRACO CORPORATION LIMITED,0,0,0
613,SUNMOON FOOD COMPANY LIMITED,0,0,0
614,SUNNINGDALE TECH LIMITED,0,0,0
615,SUNPOWER GROUP LIMITED,0,0,0
616,SUNRIGHT LIMITED,0,0,0
617,SUNRISE SHARES HOLDINGS LIMITED,0,0,0
618,SUNTAR ECO-CITY LIMITED,0,0,0
619,SUNVIC CHEMICAL HOLDINGS LIMITED,0,0,0
620,SUTL ENTERPRISE LIMITED,0,0,0
621,SWEE HONG LIMITED,0,0,0
622,SWIBER HOLDINGS LIMITED,0,0,0
623,SWING MEDIA TECHNOLOGY GRP LIMITED,0,0,0
624,SWISSCO HOLDINGS LIMITED,0,0,0
625,SYNAGIE CORPORATION LIMITED,0,0,0
626,SYSMA HOLDINGS LIMITED,0,0,0
627,T T J HOLDINGS LIMITED,0,0,0
628,TA CORPORATION LIMITED,0,0,0
629,TAI SIN ELECTRIC LIMITED,0,0,0
630,TALKMED GROUP LIMITED,0,0,0
631,TAN CHONG INTERNATIONAL LIMITED,0,0,0
632,TAT SENG PACKAGING GROUP LIMITED,1,0,1
633,TECHNICS OIL & GAS LIMITED,0,0,0
634,TECKWAH INDUSTRIAL CORPORATION LIMITED,0,0,0
635,TEE INTERNATIONAL LIMITED,0,1,1
636,TEE LAND LIMITED,1,0,1
637,TEHO INTERNATIONAL INC LIMITED,0,0,0
638,TELECHOICE INTERNATIONAL LIMITED,1,0,1
639,TEMASEK HOLDINGS PRIVATE LIMITED,0,35,35
640,THAI BEVERAGE PUBLIC COMPANY LIMITED,0,2,2
641,THAKRAL CORPORATION LIMITED,0,0,0
642,THE HOUR GLASS LIMITED,0,0,0
643,THE PLACE HOLDINGS LIMITED,0,0,0
644,THE STRAITS TRADING COMPANY LIMITED,0,3,3
645,THE STRATECH GROUP LIMITED,0,0,0
646,THE TRENDLINES GROUP LIMITED,0,0,0
647,THOMSON MEDICAL GROUP LIMITED,0,0,0
648,TIANJIN ZHONG XIN PHARM GROUP,0,0,0
649,TIH LIMITED,0,1,1
650,TIONG SENG HOLDINGS LIMITED,0,0,0
651,TIONG WOON CORPORATION HOLDING LIMITED,0,0,0
652,TLV HOLDINGS LIMITED,0,0,0
653,TOP GLOBAL LIMITED,0,0,0
654,TOP GLOVE CORPORATION BHD,0,0,0
655,TOSEI CORPORATION,0,0,0
656,TRANSCORP HOLDINGS LIMITED,0,0,0
657,TRANSIT-MIXED CONCRETE LIMITED,0,0,0
658,TRAVELITE HOLDINGS LIMITED,0,0,0
659,TREK 2000 INTERNATIONAL LIMITED,1,0,1
660,TRICKLESTAR LIMITED,0,0,0
661,TRITECH GROUP LIMITED,0,1,1
662,TSH CORPORATION LIMITED,0,0,0
663,TT INTERNATIONAL LIMITED,0,0,0
664,TUAN SING HOLDINGS LIMITED,0,1,1
665,TUNG LOK RESTAURANTS (2000) LIMITED,0,0,0
666,TYE SOON LIMITED,0,0,0
667,UG HEALTHCARE CORPORATION LIMITED,0,0,0
668,UMS HOLDINGS LIMITED,0,1,1
669,UNI-ASIA GROUP LIMITED,0,0,0
670,UNION GAS HOLDINGS LIMITED,0,0,0
671,UNION STEEL HOLDINGS LIMITED,0,0,0
672,UNITED ENGINEERS LIMITED,2,0,2
673,UNITED FOOD HOLDINGS LIMITED,0,0,0
674,UNITED GLOBAL LIMITED,0,0,0
675,UNITED INDUSTRIAL CORPORATION LIMITED,1,0,1
676,UNITED OVERSEAS AUSTRALIA LIMITED,0,0,0
677,UNITED OVERSEAS BANK LIMITED,1,7,8
678,UNITED OVERSEAS INSURANCE LIMITED,1,2,3
679,UNIVERSAL RESOURCE & SVCS LIMITED,0,0,0
680,UNUSUAL LIMITED,1,0,1
681,UOB-KAY HIAN HOLDINGS LIMITED,1,0,1
682,UOL GROUP LIMITED,2,1,3
683,USP GROUP LIMITED,0,1,1
684,VALLIANZ HOLDINGS LIMITED,0,0,0
685,VALUEMAX GROUP LIMITED,0,0,0
686,VALUETRONICS HOLDINGS LIMITED,0,0,0
687,VENTURE CORPORATION LIMITED,0,0,0
688,VERSALINK HOLDINGS LIMITED,0,0,0
689,VIBRANT GROUP LIMITED,0,0,0
690,VIBROPOWER CORPORATION LIMITED,0,0,0
691,VICOM LIMITED,1,0,1
692,VICPLAS INTERNATIONAL LIMITED,0,0,0
693,VIKING OFFSHORE AND MARINE LIMITED,1,0,1
694,VIVIDTHREE HOLDINGS LIMITED,0,0,0
695,WEE HUR HOLDINGS LIMITED,0,0,0
696,WILLAS-ARRAY ELEC HOLDINGS LIMITED,0,0,0
697,WILMAR INTERNATIONAL LIMITED,0,2,2
698,WILTON RESOURCES CORPORATION LIMITED,0,0,0
699,WINAS LIMITED,0,0,0
700,WING TAI HOLDINGS LIMITED,0,0,0
701,WONG FONG INDUSTRIES LIMITED,0,0,0
702,WORLD CLASS GLOBAL LIMITED,1,0,1
703,WORLD PRECISION MACHINERY LIMITED,0,0,0
704,XMH HOLDINGS LIMITED,0,0,0
705,Y VENTURES GROUP LIMITED,0,0,0
706,YAMADA GREEN RESOURCES LIMITED,1,0,1
707,YANGZIJIANG SHIPBUILDING HOLDINGS LIMITED,0,0,0
708,YANLORD LAND GROUP LIMITED,0,1,1
709,YEO HIAP SENG LIMITED,0,0,0
710,YHI INTERNATIONAL LIMITED,0,0,0
711,YINDA INFOCOMM LIMITED,0,0,0
712,YING LI INTERNATIONAL REAL ESTATE LIMITED,0,0,0
713,YOMA STRATEGIC HOLDINGS LIMITED,0,1,1
714,YONGMAO HOLDINGS LIMITED,0,0,0
715,YONGNAM HOLDINGS LIMITED,0,0,0
716,YORKSHINE HOLDINGS LIMITED,0,0,0
717,YTL STARHILL GLOBAL REIT MANAGEMENT LIMITED,1,1,2
718,YUNNAN ENERGY INTERNATIONAL COMPANY LIMITED,0,0,0
719,YUUZOO NETWORKS GROUP CORPORATION,0,0,0
720,ZHENENG JINJIANG ENVIRONMENT HOLDING COMPANY LIMITED,0,0,0
721,ZHONGMIN BAIHUI RETAIL GROUP LIMITED,0,0,0
722,ZHONGXIN FRUIT AND JUICE LIMITED,0,0,0
723,ZICO HOLDINGS INC,0,0,0
