STOCK NAME,STANDARDISED STOCK NAME,CODE,ANNUAL_REPORT_2018,INVESTMENT_CHANNEL,DATA AVAILIABITY,SECTOR
3CNERGY LIMITED,3CNERGY LIMITED,502,https://links.sgx.com/1.0.0/corporate-announcements/O4EBSWZV67YTQ9UZ/3Cnergy%20Limited-Annual%20Report%202018.pdf,STOCKS,Yes,Real Estate
8TELECOM INTL HOLDINGS CO LTD,8TELECOM INTL HOLDINGS COMPANY LIMITED,AZG,,STOCKS,No,Information Technology
A-SMART HOLDINGS LTD.,A-SMART HOLDINGS LIMITED,BQC,https://links.sgx.com/1.0.0/corporate-announcements/9RMU1NGVR7A3X8OH/A-Smart%20%20-%20Annual%20Report%2031%20July%202018.pdf,STOCKS,Yes,Industrials
A-SONIC AEROSPACE LIMITED,A-SONIC AEROSPACE LIMITED,BTJ,https://links.sgx.com/1.0.0/corporate-announcements/W4VXDRO2JIIK5JSQ/A-Sonic%20Aerospace%20AR%202018.pdf,STOCKS,Yes,Industrials
AA GROUP HOLDINGS LTD.,AA GROUP HOLDINGS LIMITED,5GZ,https://links.sgx.com/1.0.0/corporate-announcements/FACAT5J3G2D0PF2L/AA%20-%20Annual%20Report%20FY2018.pdf,STOCKS,Yes,Information Technology
ABR HOLDINGS LIMITED,ABR HOLDINGS LIMITED,533,https://links.sgx.com/1.0.0/corporate-announcements/PX1O3VPAKH9FSEP4/ABR%20Holdings%20Limited%20Annual%20Report%202018.pdf,STOCKS,Yes,Consumer Discretionary
ABTERRA LTD.,ABTERRA LIMITED,L5I,,STOCKS,No,Industrials
ABUNDANCE INTERNATIONAL LIMITED,ABUNDANCE INTERNATIONAL LIMITED,541,https://links.sgx.com/1.0.0/corporate-announcements/H7U6578OKE09ELVN/Abundance%20AR2018.pdf,STOCKS,Yes,Industrials
ACCORDIA GOLF TRUST MANAGEMENT PTE. LTD.,ACCORDIA GOLF TRUST MANAGEMENT PRIVATE LIMITED,ADQU,https://links.sgx.com/1.0.0/corporate-announcements/1P0T0UHNT298NBUS/AGT%20-%20Annual%20Report%202018.pdf,STOCKS,Yes,Consumer Discretionary
ACCRELIST LTD.,ACCRELIST LIMITED,QZG,https://links.sgx.com/1.0.0/corporate-announcements/UI7P2DRC29G7053L/Accrelist%20Annual%20Report%20FYE%2031%20March%202018.pdf,STOCKS,Yes,Industrials
ACE ACHIEVE INFOCOM LIMITED,ACE ACHIEVE INFOCOM LIMITED,A75,,STOCKS,No,Communication Services
ACESIAN PARTNERS LIMITED,ACESIAN PARTNERS LIMITED,5FW,https://links.sgx.com/1.0.0/corporate-announcements/0SI51G7VF5RYQ44N/Acesian%20AR2018%20Ann.pdf,STOCKS,Yes,Industrials
ACMA LTD.,ACMA LIMITED,AYV,https://links.sgx.com/1.0.0/corporate-announcements/56MEWXP4L2H12NM3/ACMA%20LTD%20ANNUAL%20REPORT%202018.pdf,STOCKS,Yes,Industrials
ACROMEC LIMITED,ACROMEC LIMITED,43F,https://links.sgx.com/1.0.0/corporate-announcements/KDESSU2ZWWHE49GC/AnnualReport2018.pdf,STOCKS,Yes,Industrials
ADDVALUE TECHNOLOGIES LTD,ADDVALUE TECHNOLOGIES LIMITED,A31,https://links.sgx.com/1.0.0/corporate-announcements/GNN9R7SCCB09PN7D/Addvalue_AR2018.pdf,STOCKS,Yes,Information Technology
ADVANCED HOLDINGS LTD.,ADVANCED HOLDINGS LIMITED,BLZ,https://links.sgx.com/1.0.0/corporate-announcements/6PSRF2BLCC8HB5M0/Advanced%20AR2018.pdf,STOCKS,Yes,Energy
ADVANCED SYSTEMS AUTOMATION LIMITED,ADVANCED SYSTEMS AUTOMATION LIMITED,5TY,https://links.sgx.com/1.0.0/corporate-announcements/3XI9IHSGDINISGXF/ASA%20AR2018.pdf,STOCKS,Yes,Information Technology
ADVANCER GLOBAL LIMITED,ADVANCER GLOBAL LIMITED,43Q,https://links.sgx.com/1.0.0/corporate-announcements/KNBQLTWWIH6IUF7Y/AGL_%20Annual%20Report%202018.pdf,STOCKS,Yes,Industrials
ADVENTUS HOLDINGS LIMITED,ADVENTUS HOLDINGS LIMITED,5EF,https://links.sgx.com/1.0.0/corporate-announcements/JYE8CMJZIJ0JVD24/AHL%20-%20AR%202018.pdf,STOCKS,Yes,Consumer Discretionary
AEI CORPORATION LTD.,AEI CORPORATION LIMITED,AWG,https://links.sgx.com/1.0.0/corporate-announcements/A6T1UCLSVF21VY8P/20190409_AEI_Ann_AR2018_Att.pdf,STOCKS,Yes,Industrials
AEM HOLDINGS LTD.,AEM HOLDINGS LIMITED,AWX,https://links.sgx.com/1.0.0/corporate-announcements/2EWFYMIPRMVSI6JF/AEM%20Holdings%20Limited%20Annual%20Report%202018.pdf,STOCKS,Yes,Information Technology
