DIRECT,INDIRECT NAME,SHARES,PERCENTAGE
AF CORPORATION PTE LTD,ASPIAL CORPORATION LIMITED,"440,691,784",41.74
AF CORPORATION PTE LTD,FRAGRANCE GROUP LIMITED,"440,691,784",41.74
