INDIRECT NAME,SHARES,PERCENTAGE
CAPITALAND LIMITED,"367,244,331",37.45
TEMASEK HOLDINGS PRIVATE LIMITED,"7,033,191",0.72
PRUDENTIAL PLC,"52,742,816",5.37
