DIRECT NAME,INDIRECT NAME,SHARES,PERCENTAGE
ARA REAL ESTATE INVESTORS V LIMITED,THE STRAITS TRADING COMPANY LIMITED,"103,708,931",9.62
ARA REAL ESTATE INVESTORS V LIMITED,PRUDENTIAL PLC,"56,847,570",5.27
