DIRECT NAME,INDIRECT NAME,SHARES,PERCENTAGE
THE ASCOTT LIMITED,CAPITALAND LIMITED,"975,881,330",44.91
THE ASCOTT LIMITED,TEMASEK HOLDINGS PRIVATE LIMITED,"22,673,051",1.05
